"audio","audio_example","audio_meaning","image","text_example","text_example_translate","text_meaning","text_meaning_translate","transcription","word","word_translate","difficulty"
"files/02_0030.mp3","files/02_0030_example.mp3","files/02_0030_meaning.mp3","files/02_0030.jpg","The sound of her laugh filled the room","Звук ее смеха заполнил комнату","Laugh is the sound made when someone is happy or a funny thing occurs","Смех - это звук, который звучит, когда кто-то счастлив или происходит смешная вещь","[læf]","laugh","смех",1
"files/02_0031.mp3","files/02_0031_example.mp3","files/02_0031_meaning.mp3","files/02_0031.jpg","The man’s voice was so loud that we all could hear him","Голос этого человека был настолько громким, что мы все могли слышать его","If a sound is loud, it is strong and very easy to hear","Если звук громкий, он сильный и очень легко слышимый","[laud]","loud","громкий",1
"files/02_0032.mp3","files/02_0032_example.mp3","files/02_0032_meaning.mp3","files/02_0032.jpg","The boy became nervous when he heard the news","Мальчик стал нервным, когда услышал новости","When a person is nervous, they think something bad will happen","Когда человек нервничает, он думает, что случится что-то плохое","[nə́ːrvəs]","nervous","нервная",1
"files/02_0033.mp3","files/02_0033_example.mp3","files/02_0033_meaning.mp3","files/02_0033.jpg","The crying baby made a loud noise","Плачущий ребенок издал громкий шум","A noise is an unpleasant sound","Шум - это неприятный звук","[nɔiz]","noise","шум",1
"files/02_0034.mp3","files/02_0034_example.mp3","files/02_0034_meaning.mp3","files/02_0034.jpg","His afternoon work project was to paint the room green","Его дневной рабочий проект должен был покрасить комнату в зеленый цвет","A project is a type of work that you do for school or a job","Проект - это вид работы, которую вы делаете для школы или работы","[prάdʒekt]","project","проект",1
"files/02_0035.mp3","files/02_0035_example.mp3","files/02_0035_meaning.mp3","files/02_0035.jpg","My uncle was scared by what he saw in the room","Мой дядя испугался увиденного в комнате","To scare someone is to make them feel afraid","Напугать кого-то - значит заставить его бояться","[skɛəːr]","scare","попугать",1
"files/02_0036.mp3","files/02_0036_example.mp3","files/02_0036_meaning.mp3","files/02_0036.jpg","The two boys were sharing a secret","Два мальчика делились секретом","A secret is something that you do not tell other people","Секрет это то, что вы не говорите другим людям","[síːkrit]","secret","секрет",1
"files/02_0037.mp3","files/02_0037_example.mp3","files/02_0037_meaning.mp3","files/02_0037.jpg","My boss shouted at me because I was late for work","Мой начальник кричал на меня, потому что я опоздал на работу","To shout is to say something loudly","Кричать - это говорить что-то громко","[ʃaut]","shout","кричать",1
"files/02_0038.mp3","files/02_0038_example.mp3","files/02_0038_meaning.mp3","files/02_0038.jpg","The two friends smelled the flower","Два друга понюхали цветок","To smell something means to use your nose to sense it","Обонять что-то значит использовать свой нос, чтобы почувствовать это","[smel]","smell","запах",1
"files/02_0039.mp3","files/02_0039_example.mp3","files/02_0039_meaning.mp3","files/02_0039.jpg","The way he treated his classmate was terrible","То, как он относился к своему однокласснику, было ужасно","If something is terrible, it is very bad","Если что-то ужасно, это очень плохо","[térəbəl]","terrible","ужасный",1
"files/02_0040.mp3","files/02_0040_example.mp3","files/02_0040_meaning.mp3","files/02_0040.jpg","Business was worse this month than last month","Бизнес был хуже в этом месяце, чем в прошлом месяце","If something is worse, it is of poorer quality than another thing","Если что-то хуже, это хуже, чем что-то другое","[wəːrs]","worse","хуже",1
"files/03_0041.mp3","files/03_0041_example.mp3","files/03_0041_meaning.mp3","files/03_0041.jpg","The alien came in peace","пришелец пришел с миром","An alien is a creature from a different world","Инопланетянин - это существо из другого мира","[éiljən]","alien","инопланетянин",1
"files/03_0042.mp3","files/03_0042_example.mp3","files/03_0042_meaning.mp3","files/03_0042.jpg","There was a red apple among the green ones","Среди зеленых было красное яблоко","If you are among certain things, they are all around you","Если вы среди определенных вещей, они все вокруг вас","[əmʌ̀ŋ]","among","среди",1
"files/03_0043.mp3","files/03_0043_example.mp3","files/03_0043_meaning.mp3","files/03_0043.jpg","We used a chart to see how we had improved","Мы использовали график, чтобы увидеть, как мы улучшили","A chart is a list of information","Диаграмма - это список информации","[tʃɑːrt]","chart","диаграмма",1
"files/03_0044.mp3","files/03_0044_example.mp3","files/03_0044_meaning.mp3","files/03_0044.jpg","The sky was filled with white clouds","Небо было наполнено белыми облаками","A cloud is a group of water drops in the sky","Облако - это группа капель воды в небе","[klaud]","cloud","облако",1
"files/03_0045.mp3","files/03_0045_example.mp3","files/03_0045_meaning.mp3","files/03_0045.jpg","They described their tree as colorful, with gold ribbon and a star","Они описали свое дерево как красочное, с золотой лентой и звездой","To describe is to say or write what someone or something is like","Описать - это сказать или написать, на что похож кто-то или что-то","[diskráib]","describe","описать",1
"files/03_0046.mp3","files/03_0046_example.mp3","files/03_0046_meaning.mp3","files/03_0046.jpg","Going skiing last winter was the most fun I’ve ever had","Кататься на лыжах прошлой зимой было самым веселым из всего, что я когда-либо ел","Ever means at any time","Всегда означает в любое время","[évər]","ever","когда-либо",1
"files/03_0047.mp3","files/03_0047_example.mp3","files/03_0047_meaning.mp3","files/03_0047.jpg","Since he failed to get the job, he was sad","Так как он не смог получить работу, ему было грустно","To fail means you do not succeed in what you try to do","Неудача означает, что вам не удается то, что вы пытаетесь сделать","[feil]","fail","потерпеть поражение",1
"files/03_0048.mp3","files/03_0048_example.mp3","files/03_0048_meaning.mp3","files/03_0048.jpg","I managed to get good grades on my report card","Мне удалось получить хорошие оценки на моем табеле","A grade is a score or mark given to someone’s work","Оценка - это оценка или оценка, присвоенная чьей-либо работе","[greid]","grade","класс",1
"files/03_0049.mp3","files/03_0049_example.mp3","files/03_0049_meaning.mp3","files/03_0049.jpg","He ate the carrot instead of the ice cream","Он съел морковку вместо мороженого","Instead means in place of","Вместо означает вместо","[instéd]","instead","вместо",1
"files/03_0050.mp3","files/03_0050_example.mp3","files/03_0050_meaning.mp3","files/03_0050.jpg","The library at school is full of books","Библиотека в школе полна книг","A library is a place where you go to read books","Библиотека - это место, куда вы ходите читать книги","[láibrèri]","library","библиотека",1
"files/03_0051.mp3","files/03_0051_example.mp3","files/03_0051_meaning.mp3","files/03_0051.jpg","I took this photograph with my cell phone","Я сделал эту фотографию на свой мобильный","I like taking photographs","Мне нравится фотографировать","[fóutəgrӕf]","photograph","фотография",1
"files/03_0052.mp3","files/03_0052_example.mp3","files/03_0052_meaning.mp3","files/03_0052.jpg","Saturn is the planet with the ring around it","Сатурн - планета с кольцом вокруг него","A planet is a large round thing in space","Планета - это большая круглая вещь в космосе","[plǽnət]","planet","планета",1
"files/03_0053.mp3","files/03_0053_example.mp3","files/03_0053_meaning.mp3","files/03_0053.jpg","Karen had trouble writing her report","Карен не могла написать свой отчет","A report is something someone writes for school or work","Отчет - это то, что кто-то пишет для школы или работы","[ripɔ́ːrt]","report","отчет",1
"files/03_0054.mp3","files/03_0054_example.mp3","files/03_0054_meaning.mp3","files/03_0054.jpg","He had to read several books for class","Он должен был прочитать несколько книг для класса","Several is more than two but not many","Несколько больше двух, но не много","[sévərəl]","several","несколько",1
"files/03_0055.mp3","files/03_0055_example.mp3","files/03_0055_meaning.mp3","files/03_0055.jpg","Even with your eyes closed you can feel the shape of it","Даже с закрытыми глазами вы можете почувствовать его форму","An object’s shape is the arrangement of its sides and surfaces","Форма объекта - это расположение его сторон и поверхностей","[ʃeip]","shape","форма",1
"files/03_0056.mp3","files/03_0056_example.mp3","files/03_0056_meaning.mp3","files/03_0056.jpg","All the students could easily solve the math problem","Все ученики могли легко решить математическую задачу","To solve something is to find an answer to it","Решить что-то - значит найти ответ","[sɑlv]","solve","решать",1
"files/03_0057.mp3","files/03_0057_example.mp3","files/03_0057_meaning.mp3","files/03_0057.jpg","I was surprised when my friends suddenly shouted, “Happy birthday!”","Я был удивлен, когда мои друзья вдруг закричали: 'С днем рождения!'","If something happens suddenly, it happens quickly and unexpectedly","Если что-то происходит внезапно, это происходит быстро и неожиданно","[sʌ́dnli]","suddenly","вдруг, внезапно",1
"files/03_0058.mp3","files/03_0058_example.mp3","files/03_0058_meaning.mp3","files/03_0058.jpg","I suppose I should go home now","Полагаю, мне пора домой","To suppose is to guess","Предположить, значит угадать","[səpóuz]","suppose","предположим",1
"files/03_0059.mp3","files/03_0059_example.mp3","files/03_0059_meaning.mp3","files/03_0059.jpg","Henry could not understand the message","Генри не мог понять сообщение","To understand something you need to know what it means","Чтобы понять что-то, нужно знать, что это значит","[Λndərstǽnd]","understand","понимаю",1
"files/03_0060.mp3","files/03_0060_example.mp3","files/03_0060_meaning.mp3","files/03_0060.jpg","Michael likes to view himself in the mirror","Михаилу нравится видеть себя в зеркале","To view is to look at something","Смотреть - значит смотреть на что-то","[vjuː]","view","посмотреть",1
"files/04_0061.mp3","files/04_0061_example.mp3","files/04_0061_meaning.mp3","files/04_0061.jpg","It’s appropriate to wear a suit when you go to the office","Уместно носить костюм, когда вы идете в офис","When a thing is appropriate, it is right or normal","Когда вещь уместна, она правильная или нормальная","[əpróuprièit]","appropriate","подходящее",1
"files/04_0062.mp3","files/04_0062_example.mp3","files/04_0062_meaning.mp3","files/04_0062.jpg","Avoid the broken bottle on the floor","Избегайте разбитой бутылки на полу","To avoid something is to stay away from it","Избегать чего-либо - значит держаться подальше от этого","[əvɔ́id]","avoid","избегать",1
"files/04_0063.mp3","files/04_0063_example.mp3","files/04_0063_meaning.mp3","files/04_0063.jpg","She always behaves well when her father is around","Она всегда ведет себя хорошо, когда ее отец рядом","To behave is to act in a particular way, especially to be good","Вести себя - значит действовать определенным образом, особенно быть хорошим","[bihéiv]","behave","вести себя",1
"files/04_0064.mp3","files/04_0064_example.mp3","files/04_0064_meaning.mp3","files/04_0064.jpg","A nice warm bath makes me feel so calm","Хорошая теплая ванна заставляет меня чувствовать себя так спокойно","When someone is calm, they do not get excited or upset","Когда кто-то спокоен, он не волнуется и не расстраивается","[kɑːm]","calm","спокойный",1
"files/04_0065.mp3","files/04_0065_example.mp3","files/04_0065_meaning.mp3","files/04_0065.jpg","I was filled with concern after reading the newspaper","Я был полон беспокойства после прочтения газеты","Concern is a feeling of worry","Беспокойство - это чувство беспокойства","[kənsə́ːrn]","concern","беспокойство",1
"files/04_0066.mp3","files/04_0066_example.mp3","files/04_0066_meaning.mp3","files/04_0066.jpg","The baby looked very content sitting on the floor","Ребенок выглядел очень довольным, сидя на полу","To be content is to be happy and not want more","Быть довольным значит быть счастливым и не хотеть большего","[kəntént]","content","содержание",1
"files/04_0067.mp3","files/04_0067_example.mp3","files/04_0067_meaning.mp3","files/04_0067.jpg","I expect the bus to be here very soon","Я ожидаю, что автобус будет здесь очень скоро","If you expect something to happen, you believe it will happen","Если вы ожидаете, что что-то случится, вы верите, что это произойдет","[ikspékt]","expect","ожидать",1
"files/04_0068.mp3","files/04_0068_example.mp3","files/04_0068_meaning.mp3","files/04_0068.jpg","We meet frequently, either at the beginning or end of the week","Мы часто встречаемся, либо в начале, либо в конце недели","When something happens frequently, it happens often","Когда что-то случается часто, это случается часто","[fríːkwəntli]","frequently","часто",1
"files/04_0069.mp3","files/04_0069_example.mp3","files/04_0069_meaning.mp3","files/04_0069.jpg","Smoking is a bad habit that can kill you","Курение - это вредная привычка, которая может тебя убить","A habit is a thing that you do often","Привычка - это то, что вы часто делаете","[hǽbit]","habit","привычка",1
"files/04_0070.mp3","files/04_0070_example.mp3","files/04_0070_meaning.mp3","files/04_0070.jpg","My teacher instructs us in several subjects","Мой учитель учит нас нескольким предметам","To instruct is to teach","Обучать - значит учить","[instrʌ́kt]","instruct","инструктирует",1
"files/04_0071.mp3","files/04_0071_example.mp3","files/04_0071_meaning.mp3","files/04_0071.jpg","The men spoke about issues that were important to the people","Мужчины говорили о проблемах, которые были важны для людей","An issue is an important topic","Проблема - важная тема","[íʃuː]","issue","проблема",1
"files/04_0072.mp3","files/04_0072_example.mp3","files/04_0072_meaning.mp3","files/04_0072.jpg","He spent all his money. There is none left","Он потратил все свои деньги. Там ничего не осталось","None means not any of something","Никто не означает не что-то","[nʌn]","none","никто",1
"files/04_0073.mp3","files/04_0073_example.mp3","files/04_0073_meaning.mp3","files/04_0073.jpg","I had to be patient and wait until 5 o’clock to leave","Я должен был быть терпеливым и ждать, пока 5 часов, чтобы уйти","If people are patient, they don’t become angry or upset easily","Если люди терпеливы, они не сердятся и не расстраиваются","[péiʃənt]","patient","пациент",1
"files/04_0074.mp3","files/04_0074_example.mp3","files/04_0074_meaning.mp3","files/04_0074.jpg","She has a positive future ahead of her after finishing college","У нее впереди хорошее будущее после окончания колледжа","If something is positive, it is good","Если что-то положительное, это хорошо","[pɑ́zətiv]","positive","позитивный",1
"files/04_0075.mp3","files/04_0075_example.mp3","files/04_0075_meaning.mp3","files/04_0075.jpg","To punish me, my teacher had me stand in the corner","Чтобы наказать меня, мой учитель заставил меня встать в углу","To punish means to make someone suffer for breaking the rules or laws","Наказать значит заставить кого-то страдать за нарушение правил или законов","[pʌ́niʃ]","punish","наказать",1
"files/04_0076.mp3","files/04_0076_example.mp3","files/04_0076_meaning.mp3","files/04_0076.jpg","My lawyer will represent me in court","Мой адвокат будет представлять меня в суде","To represent is to speak or act for a person or group","Представлять - значит говорить или действовать от лица или группы","[rèprizént]","represent","представлять",1
"files/04_0077.mp3","files/04_0077_example.mp3","files/04_0077_meaning.mp3","files/04_0077.jpg","When people shake hands, it usually means they agree","Когда люди пожимают друг другу руки, это обычно означает, что они согласны","To shake is to move back and forth or up and down quickly","Трясти - значит быстро двигаться вперед-назад или вверх-вниз","[ʃeik]","shake","трясти",1
"files/04_0078.mp3","files/04_0078_example.mp3","files/04_0078_meaning.mp3","files/04_0078.jpg","I like to spread butter on my toast","Мне нравится разливать масло по моему тосту","To spread is to move out to cover a larger area","Распространение означает выход на большую площадь","[spred]","spread","распространение",1
"files/04_0079.mp3","files/04_0079_example.mp3","files/04_0079_meaning.mp3","files/04_0079.jpg","My dog and I strolled through the park today","Сегодня мы с собакой прогулялись по парку","To stroll means to walk slowly and calmly","Гулять значит ходить медленно и спокойно","[stroul]","stroll","прогулка",1
"files/04_0080.mp3","files/04_0080_example.mp3","files/04_0080_meaning.mp3","files/04_0080.jpg","There are only a few houses in my village","В моей деревне всего несколько домов","A village is a very small town","Деревня очень маленький город","[vílidʒ]","village","деревня",1
"files/05_0081.mp3","files/05_0081_example.mp3","files/05_0081_meaning.mp3","files/05_0081.jpg","It is important to be active and not sit around all the time","Важно быть активным, а не сидеть без дела все время","When someone is active, they move a lot or have a lot of things to do","Когда кто-то активен, он много двигается или у него много дел","[ǽktiv]","active","активный",1
"files/05_0082.mp3","files/05_0082_example.mp3","files/05_0082_meaning.mp3","files/05_0082.jpg","My mom and dad are adults","Мои мама и папа взрослые","An adult is a person who is more than 18 years old","Взрослый - это человек старше 18 лет","[ədΛlt]","adult","взрослый",1
"files/05_0083.mp3","files/05_0083_example.mp3","files/05_0083_meaning.mp3","files/05_0083.jpg","She died at the age of 80","Она умерла в возрасте 80 лет","Age is how many years someone has lived","Возраст - это сколько лет кто-то прожил","[eidʒ]","age","возраст",1
"files/05_0084.mp3","files/05_0084_example.mp3","files/05_0084_meaning.mp3","files/05_0084.jpg","She is unhappy because she had a bad day","Она несчастна, потому что у нее был плохой день","When something is bad, it is not good","Когда что-то плохо, это не хорошо","[bæd]","bad","плохой",1
"files/05_0085.mp3","files/05_0085_example.mp3","files/05_0085_meaning.mp3","files/05_0085.jpg","A good balance between work and fun helps keep you healthy","Хороший баланс между работой и весельем помогает поддерживать здоровье","Balance is when two or more things are equal","Баланс - это когда две или более вещи равны","[bǽləns]","balance","баланс",1
"files/05_0086.mp3","files/05_0086_example.mp3","files/05_0086_meaning.mp3","files/05_0086.jpg","He rides his bike to school every day","Он ездит на велосипеде в школу каждый день","A bike is a vehicle with two wheels powered by a human","Велосипед - это автомобиль с двумя колесами, приводимый в движение человеком","[baik]","bike","велосипед",1
"files/05_0087.mp3","files/05_0087_example.mp3","files/05_0087_meaning.mp3","files/05_0087.jpg","I have to choose between taking art classes and sports lessons","Мне нужно выбирать между занятиями искусством и занятиями спортом","To choose is to pick something or make a decision","Выбрать - это выбрать что-то или принять решение","[tʃuːz]","choose","выбирать",1
"files/05_0088.mp3","files/05_0088_example.mp3","files/05_0088_meaning.mp3","files/05_0088.jpg","You should go to the doctor when you are sick","Вы должны идти к врачу, когда вы больны","A doctor is a person who studies medicine and helps sick people","Врач - это человек, который изучает медицину и помогает больным людям","[dάktər]","doctor","доктор",1
"files/05_0089.mp3","files/05_0089_example.mp3","files/05_0089_meaning.mp3","files/05_0089.jpg","Did you sleep during the movie?","Ты спал во время фильма?","During an event means while the event was happening","Во время события означает, что событие происходило","[djúəriŋ]","during","в течение",1
"files/05_0090.mp3","files/05_0090_example.mp3","files/05_0090_meaning.mp3","files/05_0090.jpg","Football is a popular sport in the United States","Футбол - популярный вид спорта в Соединенных Штатах","Football is a sport with eleven members and an oval-shaped ball","Футбол - это спорт с одиннадцатью членами и мячом овальной формы","[fʊtbɒːl]","football","футбол",1
"files/05_0091.mp3","files/05_0091_example.mp3","files/05_0091_meaning.mp3","files/05_0091.jpg","We had a fun time at the birthday party","Мы весело провели время на вечеринке по случаю дня рождения","When something is fun, it is enjoyable","Когда что-то весело, это приятно","[fʌn]","fun","веселье",1
"files/05_0092.mp3","files/05_0092_example.mp3","files/05_0092_meaning.mp3","files/05_0092.jpg","Let’s play a board game tonight","Давай поиграем в настольную игру сегодня вечером","A game is an activity where people compete against each other","Игра - это игра, в которой люди соревнуются друг с другом","[geim]","game","игра",1
"files/05_0093.mp3","files/05_0093_example.mp3","files/05_0093_meaning.mp3","files/05_0093.jpg","My heart beats fast when I am nervous","Мое сердце бьется быстро, когда я нервничаю","A heart is an organ that keeps the body alive","Сердце - это орган, который поддерживает жизнь тела","[hɑːrt]","heart","сердце",1
"files/05_0094.mp3","files/05_0094_example.mp3","files/05_0094_meaning.mp3","files/05_0094.jpg","People play golf in nice weather","Люди играют в гольф в хорошую погоду","Golf is a sport with clubs and a small white ball","Гольф - это спорт с клюшками и маленьким белым шариком","[galf]","golf","гольф",1
"files/05_0095.mp3","files/05_0095_example.mp3","files/05_0095_meaning.mp3","files/05_0095.jpg","I will increase my score if I study for the test","Я увеличу свой счет, если я буду готовиться к экзамену","To increase is to make something larger","Увеличить значит сделать что-то большее","[inkríːs]","increase","увеличение",1
"files/05_0096.mp3","files/05_0096_example.mp3","files/05_0096_meaning.mp3","files/05_0096.jpg","My grandfather had a long life","У моего деда была долгая жизнь","Life is the time when a person is alive","Жизнь - это время, когда человек жив","[laif]","life","жизнь",1
"files/05_0097.mp3","files/05_0097_example.mp3","files/05_0097_meaning.mp3","files/05_0097.jpg","A marathon is 42.2 kilometers","Марафон 42,2 километра","A kilometer is a unit of measurement that is 1,000 meters","Километр - это единица измерения, которая составляет 1000 метров","[kilάmətər]","kilometer","километр",1
"files/05_0098.mp3","files/05_0098_example.mp3","files/05_0098_meaning.mp3","files/05_0098.jpg","He often goes to bed early during the week","Он часто ложится спать рано в течение недели","Often is when something happens many times","Часто бывает, когда что-то случается много раз","[ɔ́ːfən]","often","довольно часто",1
"files/05_0099.mp3","files/05_0099_example.mp3","files/05_0099_meaning.mp3","files/05_0099.jpg","We have plenty of fruit, so help yourself","У нас много фруктов, так что помогите себе","If you have plenty of something, there is a lot of it","Если у вас много чего-то, то этого много","[plenti]","plenty","много",1
"files/05_0100.mp3","files/05_0100_example.mp3","files/05_0100_meaning.mp3","files/05_0100.jpg","I gained weight because I ate a lot of pizza","Я набрал вес, потому что я ел много пиццы","Weight is how heavy something or someone is","Вес - это то, как тяжело что-то или кто-то","[weit]","weight","вес",1
"files/06_0101.mp3","files/06_0101_example.mp3","files/06_0101_meaning.mp3","files/06_0101.jpg","They moved apart and then came back together","Они раздвинулись, а затем вернулись вместе","When people or things are apart, they are not next to each other","Когда люди или вещи разлучены, они не рядом друг с другом","[əpάːrt]","apart","отдельно",1
